id_queue;method;uid;code;object;path;storeCode;company;createDate;status;attemps
77;POST;8c400535-e01d-4096-9e3f-8d774846d69a;;StockTransferDTO;core-engine/stock-transfer/sync?code=8c400535-e01d-4096-9e3f-8d774846d69a;ST016;AZALEIA;2024-10-07 09:37:13;PENDING;1
78;PATCH;0ce09f50-95b3-41f6-8c34-5b96d43bc5f0;;TransferRequestDTO;core-engine/transfer-request/sync?code=0ce09f50-95b3-41f6-8c34-5b96d43bc5f0;ST016;AZALEIA;2024-10-07 09:37:15;PENDING;
79;PATCH;8c400535-e01d-4096-9e3f-8d774846d69a;;StockTransferDTO;core-engine/stock-transfer/sync?code=8c400535-e01d-4096-9e3f-8d774846d69a;ST016;AZALEIA;2024-10-07 09:37:15;PENDING;2
80;POST;dd54555e-dd6a-4a7e-9013-a0cc1b529f8d;;StockTransferDTO;core-engine/stock-transfer/sync?code=dd54555e-dd6a-4a7e-9013-a0cc1b529f8d;ST008;AZALEIA;2024-10-07 09:37:17;PENDING;
81;POST;e1322d19-c4f0-4ef0-8994-3dfc6e35fdc3;;StockTransferDTO;core-engine/stock-transfer/sync?code=e1322d19-c4f0-4ef0-8994-3dfc6e35fdc3;ST016;AZALEIA;2024-10-07 09:37:19;PENDING;
82;PATCH;0ce09f50-95b3-41f6-8c34-5b96d43bc5f0;;TransferRequestDTO;core-engine/transfer-request/sync?code=0ce09f50-95b3-41f6-8c34-5b96d43bc5f0;ST016;AZALEIA;2024-10-07 09:37:20;PENDING;
83;PATCH;e1322d19-c4f0-4ef0-8994-3dfc6e35fdc3;;StockTransferDTO;core-engine/stock-transfer/sync?code=e1322d19-c4f0-4ef0-8994-3dfc6e35fdc3;ST016;AZALEIA;2024-10-07 09:37:21;PENDING;1
84;POST;597da294-8662-43cf-af3d-96cac616476c;;StockTransferDTO;core-engine/stock-transfer/sync?code=597da294-8662-43cf-af3d-96cac616476c;ST008;AZALEIA;2024-10-07 09:37:21;PENDING;
85;POST;4a69fef8-efd1-4f53-9a66-1dd79ac7a625;;TransferRequestDTO;core-engine/transfer-request/sync?code=4a69fef8-efd1-4f53-9a66-1dd79ac7a625;ST016;AZALEIA;2024-10-07 09:37:23;PENDING;
86;POST;64de60d0-cb71-4623-bcc5-b1bf67f7fcba;;StockTransferDTO;core-engine/stock-transfer/sync?code=64de60d0-cb71-4623-bcc5-b1bf67f7fcba;ST016;AZALEIA;2024-10-07 09:37:24;PENDING;1
87;PATCH;4a69fef8-efd1-4f53-9a66-1dd79ac7a625;;TransferRequestDTO;core-engine/transfer-request/sync?code=4a69fef8-efd1-4f53-9a66-1dd79ac7a625;ST016;AZALEIA;2024-10-07 09:37:24;PENDING;
88;POST;00a8e57a-496d-4a72-a297-c46525c20816;;StockTransferCancellationDTO;core-engine/cancellation-document/sync?code=00a8e57a-496d-4a72-a297-c46525c20816;ST016;AZALEIA;2024-10-07 09:37:24;PENDING;
89;POST;00a8e57a-496d-4a72-a297-c46525c20816;;CorrelativeCancelDTO;core-engine/cancellation-document/sync?code=00a8e57a-496d-4a72-a297-c46525c20816;ST016;AZALEIA;2024-10-07 09:37:24;PENDING;
90;POST;f059f270-b8ec-4fd1-b299-3971f081de2a;F001-00000020;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=f059f270-b8ec-4fd1-b299-3971f081de2a;ST008;AZALEIA;2024-10-07 09:37:27;PENDING;
91;POST;256286a2-16cf-49d0-ada4-5f827337fff5;;PaymentDTO;core-engine/payment/sync?code=256286a2-16cf-49d0-ada4-5f827337fff5;ST008;AZALEIA;2024-10-07 09:37:27;PENDING;1
92;POST;a1c2750d-876e-4651-abb8-fff2e7f49604;;ChangeExitDTO;core-engine/change-exit/sync?code=a1c2750d-876e-4651-abb8-fff2e7f49604;ST008;AZALEIA;2024-10-07 09:37:27;PENDING;
93;POST;37e53957-0712-4c76-8727-39e92251a7fc;;ChangeEntryDTO;core-engine/change-entry/sync?code=37e53957-0712-4c76-8727-39e92251a7fc;ST008;AZALEIA;2024-10-07 09:37:27;PENDING;
94;POST;007c18d0-b7de-43b4-9f35-ad74a1ad8674;F001-00000021;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=007c18d0-b7de-43b4-9f35-ad74a1ad8674;ST008;AZALEIA;2024-10-07 09:37:29;PENDING;
95;POST;1cdc1912-914b-4eb7-aad3-5e69dd7e7529;;PaymentDTO;core-engine/payment/sync?code=1cdc1912-914b-4eb7-aad3-5e69dd7e7529;ST008;AZALEIA;2024-10-07 09:37:30;PENDING;1
96;POST;1388c804-cdf2-4896-a66e-a6045ce0356a;;ChangeExitDTO;core-engine/change-exit/sync?code=1388c804-cdf2-4896-a66e-a6045ce0356a;ST008;AZALEIA;2024-10-07 09:37:30;PENDING;
97;POST;8439177b-18bf-4328-88ec-de7c38d43117;;ChangeEntryDTO;core-engine/change-entry/sync?code=8439177b-18bf-4328-88ec-de7c38d43117;ST008;AZALEIA;2024-10-07 09:37:30;PENDING;
98;POST;609b8f4f-a4fc-4eb1-8570-3c36e5d773eb;;CreditNoteDTO;core-engine/creditnote/sync?code=609b8f4f-a4fc-4eb1-8570-3c36e5d773eb;ST008;AZALEIA;2024-10-07 09:37:31;PENDING;1
99;POST;34fcc9a5-3952-4c8b-818b-a84c0681791e;;CreditNoteCancellationDTO;core-engine/cancellation-document/sync?code=34fcc9a5-3952-4c8b-818b-a84c0681791e;ST008;AZALEIA;2024-10-07 09:37:31;PENDING;
100;POST;34fcc9a5-3952-4c8b-818b-a84c0681791e;;CorrelativeCancelDTO;core-engine/cancellation-document/sync?code=34fcc9a5-3952-4c8b-818b-a84c0681791e;ST008;AZALEIA;2024-10-07 09:37:31;PENDING;
